County,Cumulative Cases,Population,Jun-01,Jun-02,Jun-03,Jun-04,Jun-05,Jun-06
Baringo,555,666763,0,0,6,0,0,0
Bomet,716,875689,0,0,0,0,10,0
Bungoma,1710,1670570,0,3,6,0,5,0
Busia,3936,893681,7,0,3,13,15,17
Elegeyo-Marakwet,199,454480,0,1,1,0,1,2
Embu,1080,608599,1,0,2,2,2,0
Garissa,1192,841353,9,0,1,6,1,0
Homa Bay,709,1131950,2,1,4,1,12,2
Isiolo,404,268002,0,0,0,0,0,0
Kajiado,4434,1117840,3,1,5,1,2,1
Kakamega,1747,1867579,2,0,2,2,1,1
Kericho,3130,901777,14,1,7,8,29,1
Kiambu,10703,2417735,12,3,3,7,8,1
Kilifi,3933,1453787,19,12,18,0,33,8
Kirinyaga,812,610411,2,1,0,2,1,1
Kisii,1627,1266860,9,1,3,5,37,9
Kisumu,4663,1155574,67,32,145,30,54,0
Kitui,1885,1136187,4,1,10,3,1,0
Kwale,536,866820,0,2,0,2,0,0
Laikipia,1515,518560,1,2,1,0,0,0
Lamu,333,143920,0,0,0,1,0,0
Machakos,4655,1421932,1,4,1,0,4,1
Makueni,972,987653,10,0,0,0,3,0
Mandera,270,867457,0,0,1,0,3,1
Marsabit,248,459785,0,0,0,1,1,0
Meru,2488,1545714,0,6,3,1,4,4
Migori,1453,1116436,1,0,21,2,19,1
Mombasa,11988,1208333,35,2,26,21,2,2
Murang'a,1556,1056640,0,1,0,4,3,3
Nairobi,75088,4397073,80,38,52,66,53,48
Nakuru,8610,2162202,3,2,19,7,10,8
Nandi,1212,885711,1,7,9,1,14,3
Narok,678,1157873,2,1,2,2,2,4
Nyamira,785,605576,14,0,14,0,12,0
Nyandarua,894,638289,0,0,0,0,0,0
Nyeri,2076,759164,1,0,0,8,3,18
Samburu,233,310327,0,0,0,0,0,0
Siaya,1510,993183,37,2,34,66,17,4
Taita-Taveta,1061,340671,0,1,0,0,0,0
Tana River,113,315943,0,0,0,0,0,0
Tharaka-Nithi,439,393177,0,0,3,0,0,0
Trans Nzoia,1433,990341,2,3,0,1,1,3
Turkana,1703,926976,0,0,7,7,1,0
Uasin Gishu,5566,1163186,5,14,10,7,22,21
Vihiga,348,590013,0,0,11,6,5,0
Wajir,101,781263,0,0,0,0,0,0
West Pokot,272,621241,5,0,2,1,1,0
